Spanish,English
de ,from
que ,what
no ,no
a ,to
la ,the
el ,the
y ,and
es ,is
en ,on
lo ,it
un ,a
por ,by
qué ,what
me ,I
una ,a
los ,the
se ,I know
te ,tea
con ,with
para ,for
está ,is
mi ,me
pero ,but
sí ,Yes
si ,Yes
bien ,well
eso ,that
su ,his
las ,the
yo ,me
del ,the
como ,What
aquí ,here
tu ,you
al ,to the
más ,plus
le ,you
esto ,this
todo ,everything
ya ,already
estoy ,I'm
ahora ,now
muy ,very
ha ,ha
esta ,is
así ,So
vamos ,we go
algo ,something
hay ,there are
bueno ,Okay
tengo ,I have
él ,he
cuando ,when
estás ,these
sé ,he
tú ,your
nos ,us
nada ,nothing
cómo ,excuse me
este ,East
o ,or
he ,He.
ser ,be
tiene ,have
puedo ,may l
ella ,her
quiero ,want
hacer ,do
fue ,was
gracias ,Thank you
vez ,time
era ,was
soy ,am
sólo ,alone
todos ,everyone
porque ,because
son ,They are
tienes ,have
creo ,believe
voy ,I go
sabes ,know
estaba ,I was
puede ,can
eres ,are
ese ,that
usted ,you
entonces ,then
hola ,hello
solo ,only
verdad ,truth
casa ,House
tan ,so
quién ,whose
sus ,their
tiempo ,weather
dos ,two
esa ,this
nunca ,never
dónde ,where
va ,he
oh ,Oh
favor ,favor
mucho ,a lot
mí ,my
quieres ,you want
siento ,I feel
señor ,Sir
mejor ,better
hace ,make
has ,HAS.
decir ,say
también ,as well
sobre ,on
dios ,God
sin ,without
tenemos ,have
están ,is it so
ti ,you
puedes ,you can
ver ,watch
hombre ,man
vida ,lifetime
alguien ,someone
cosas ,stuff
siempre ,forever
hasta ,until
ahí ,there
ir ,to go
años ,years
antes ,before
estar ,be
ni ,neither
poco ,little bit
día ,day
uno ,one
noche ,evening
hecho ,done
mis ,MIS
estamos ,we're
otra ,other
acuerdo ,agreement
trabajo ,job
nosotros ,us
parece ,It seems
gente ,people
sea ,be
padre ,dad
mira ,sight
mismo ,same
dijo ,said
nadie ,no one
quiere ,wants
podría ,might
hablar ,speak
vas ,you go
ellos ,they
sr. ,Mr.
tal ,such
pasa ,happens
fuera ,outside
después ,then
han ,they have
desde ,from
dinero ,money
mundo ,world
claro ,Clear
momento ,moment
les ,them
tener ,have
estado ,condition
otro ,other
había ,there was
mañana ,morning
tenía ,I had
madre ,mother
vale ,okay
lugar ,place
haciendo ,making
donde ,where
seguro ,sure
sabe ,knows
podemos ,can
tus ,your
espera ,waiting
nuevo ,new
sido ,been
cosa ,thing
hijo ,child
allí ,there
menos ,less
tipo ,type
amigo ,friend
gran ,big
nuestro ,our
mujer ,woman
mamá ,mom
luego ,later
papá ,dad
días ,days
dice ,it says
hoy ,today
tres ,three
buena ,good
necesito ,needed
dije ,said
oye ,hears
gusta ,like
quería ,wanted
será ,be
haber ,to have
parte ,part
todas ,all
crees ,you think
buen ,good
conmigo ,with me
nombre ,Name
mierda ,shit
nuestra ,our
mal ,evil
debe ,should
realmente ,Really
estas ,are
aún ,yet
mío ,Own
toda ,all
hacerlo ,do it
cada ,every
visto ,viewed
importa ,import
contigo ,with you
tienen ,have
hemos ,we have
razón ,reason
alguna ,some
tanto ,so much
saber ,to know
hizo ,did
veces ,times
serio ,I laughed
ven ,come
idea ,idea
eh ,Hey
tarde ,afternoon
problema ,trouble
hora ,hour
cierto ,certain
dicho ,saying
quien ,who
demasiado ,too
amor ,love
entre ,Come in
ve ,go
pasado ,past
familia ,family
estos ,these
policía ,police
debería ,should
ustedes ,your
chica ,girl
esos ,those
chicos ,Boys
cuenta ,bill
haces ,you do
todavía ,yet
salir ,leave
algún ,some
vaya ,Wow
unos ,some
veo ,I see
amigos ,friends
hermano ,brother
pensé ,I thought
sabía ,I knew
cabeza ,head
ah ,ah
cariño ,Dear
digo ,say
van ,go
hombres ,mens
buenas ,good
somos ,are
cualquier ,any
forma ,shape
mientras ,While
lado ,side
debo ,I must
sería ,would
caso ,case
pueden ,they can
pasó ,I pass
primera ,first
genial ,great
chico ,guy
supuesto ,assumption
hice ,I did
pues ,well
adiós ,bye
muchas ,many
personas ,people
señora ,Lady
